Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2015,Maruti,Wagon R 1.0,Manual,87375,1st Owner,Petrol,MH-40,Nagpur,331000
2012,Maruti,Alto,Manual,77199,1st Owner,Petrol,BR-01,Patna,173000
2017,Maruti,Ciaz,Manual,48094,3rd Owner,Petrol,CH-01,Chandigarh,582000
2015,Maruti,Celerio,Automatic,42994,1st Owner,Petrol,MH-02,Pune,366000
2019,Maruti,Swift,Manual,28793,1st Owner,Petrol,UP-15,Lucknow,542000
2018,Maruti,Ciaz,Manual,46299,1st Owner,Petrol,HR-26,Noida,668000
2011,Maruti,Alto K10,Manual,93403,1st Owner,Petrol,HR-22,Gurugram,157000
2019,Maruti,Swift,Manual,43012,1st Owner,Petrol,GJ-27,Ahmedabad,580000
2013,Maruti,Alto 800,Manual,13626,2nd Owner,CNG,MH-04,Nasik,280000
2022,Maruti,S PRESSO,Manual,21211,1st Owner,Petrol,HR-13,Rohtak,423000
2016,Maruti,Alto 800,Manual,37785,1st Owner,Petrol,MP-04,Lasudia Mori,290000
2014,Maruti,Wagon R 1.0,Manual,54615,1st Owner,Petrol,HR-26,Rohtak,315000
2021,Maruti,Swift,Automatic,7183,2nd Owner,Petrol,RJ-45,Mansarovar,811000
2015,Maruti,Alto 800,Manual,32914,1st Owner,Petrol,MH-31,Nagpur,255000
2022,Maruti,BREZZA,Automatic,16038,1st Owner,Petrol,TS-15,Hyderabad,1402000
2014,Maruti,Celerio,Automatic,32777,1st Owner,Petrol,PB-65,Chandigarh,382000
2019,Maruti,New Wagon-R,Automatic,12413,1st Owner,Petrol,MH-02,Mumbai,577000
2015,Maruti,Ertiga,Manual,71877,2nd Owner,Petrol,KA-25,Bengaluru,708000
2011,Maruti,Ritz,Manual,39644,1st Owner,Petrol,DL-2C,Ghaziabad,197000
2012,Maruti,Swift,Manual,32528,1st Owner,Petrol,KL-22,Kochi,401000
2016,Maruti,Alto K10,Automatic,45652,1st Owner,Petrol,DL-14,Ghaziabad,337000
2021,Maruti,Dzire,Manual,18152,1st Owner,Petrol,GJ-06,Ahmedabad,689000
2018,Maruti,Dzire,Automatic,75389,1st Owner,Diesel,TS-08,Hyderabad,813200
