Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2017,Honda,City,Automatic,65865,1st Owner,Petrol,TS-08,Hyderabad,801000
2015,Maruti,Swift,Manual,77646,1st Owner,Petrol,KA-04,Bengaluru,554000
2019,Hyundai,NEW SANTRO,Manual,25411,1st Owner,Petrol,HR-26,Gurugram,445000
2016,Tata,Tiago,Manual,46138,1st Owner,Petrol,TS-07,Hyderabad,418000
2016,Hyundai,Creta,Automatic,80837,2nd Owner,Petrol,MH-43,Mumbai,835000
2015,Maruti,Celerio,Manual,52209,1st Owner,Petrol,KA-51,Bengaluru,487000
2011,Hyundai,i10,Manual,101142,1st Owner,Petrol,WB-40,Kolkata,180000
2013,Maruti,Alto 800,Manual,48444,1st Owner,Petrol,KA-36,Bengaluru,286000
2016,Honda,Amaze,Manual,111247,2nd Owner,Petrol,MH-46,Mumbai,460000
2017,Maruti,Baleno,Manual,80137,1st Owner,Petrol,DL-8C,Noida,501000
2018,Tata,Tiago,Manual,83340,1st Owner,CNG,KA-04,Bengaluru,460650
2016,Hyundai,Elite i20,Manual,51276,2nd Owner,Petrol,DL-8C,Ghaziabad,567000
2014,Hyundai,i20,Manual,98253,2nd Owner,Petrol,HR-26,New Delhi,341000
2018,Hyundai,Grand i10,Manual,47633,2nd Owner,CNG,DL-8C,Gurugram,470000
2013,Hyundai,Eon,Manual,56780,2nd Owner,Petrol,KA-04,Patna,207000
2014,Hyundai,Grand i10,Manual,94278,1st Owner,Diesel,TN-11,Chennai,419000
2014,Maruti,Wagon R 1.0,Manual,49093,1st Owner,Petrol,PB-10,Ludhiana,308650
2022,Honda,City,Manual,14742,1st Owner,Petrol,PB-10,Chandigarh,1176000
2017,Maruti,Ciaz,Manual,69680,1st Owner,Petrol,HR-26,Faridabad,564000
2020,Maruti,Alto,Manual,44904,1st Owner,Petrol,GJ-10,Rajkot,380000
2014,Maruti,Ritz,Manual,62031,1st Owner,Petrol,HR-26,Gurugram,298000
2011,Maruti,Wagon R 1.0,Manual,63665,2nd Owner,Petrol,DL-2C,Noida,167000
2016,Maruti,Alto 800,Manual,59281,2nd Owner,CNG,MH-48,Pune,282000
2016,Renault,Kwid,Manual,65840,1st Owner,Petrol,TN-91,Chennai,350000
2016,Maruti,Baleno,Manual,35748,1st Owner,Petrol,MP-09,Lasudia Mori,513000
2019,Maruti,Alto 800,Manual,47714,1st Owner,Petrol,PB-65,Chandigarh,342000
2020,Hyundai,GRAND I10 NIOS,Manual,29765,2nd Owner,Petrol,TS-03,Hyderabad,692000
2017,Hyundai,Grand i10,Manual,43186,1st Owner,Petrol,DL-12,Noida,493000
2019,Honda,Amaze,Manual,29588,1st Owner,Petrol,HR-51,Gurugram,629000
2015,Maruti,Ciaz,Manual,86851,2nd Owner,Petrol,KA-03,Bengaluru,607000
2021,Hyundai,Verna,Automatic,24255,1st Owner,Petrol,KA-22,Bengaluru,1381800
2017,Hyundai,Elite i20,Manual,37369,1st Owner,Petrol,TS-07,Hyderabad,681000
2015,Maruti,Celerio,Manual,77422,1st Owner,Petrol,MH-04,Mumbai,341000
2015,Hyundai,Grand i10,Manual,42280,2nd Owner,Petrol,KA-01,Bengaluru,474000
2018,Nissan,Micra Active,Manual,29593,1st Owner,Petrol,MH-12,Pune,409000
2018,Maruti,Swift,Manual,55946,1st Owner,Diesel,GJ-27,Ahmedabad,646000
2012,Maruti,Swift Dzire,Manual,99165,1st Owner,Diesel,AP-13,Hyderabad,419000
2022,Hyundai,VENUE,Manual,12415,1st Owner,Petrol,DL-7C,New Delhi,1114000
2011,Maruti,Alto K10,Manual,25928,1st Owner,Petrol,KA-05,Bengaluru,248000
2022,Maruti,S PRESSO,Manual,7870,1st Owner,Petrol,HR-51,Gurugram,524000
2019,Hyundai,Elite i20,Manual,71277,1st Owner,Petrol,TS-08,Hyderabad,682000
2020,Tata,ALTROZ,Manual,40742,1st Owner,Petrol,KA-02,Bengaluru,769000
2019,Maruti,Celerio X,Manual,54711,1st Owner,Petrol,HR-36,New Delhi,549000
2021,Maruti,New Wagon-R,Automatic,31320,1st Owner,Petrol,TS-19,Hyderabad,675000
2021,KIA,SELTOS,Manual,12763,1st Owner,Petrol,KA-04,Bengaluru,1403000
2020,Hyundai,VENUE,Automatic,64656,1st Owner,CNG,MH-12,Pune,1015000
2019,Honda,Amaze,Automatic,45245,1st Owner,Petrol,HR-51,Rohtak,685000
2019,Maruti,Alto,Manual,20657,2nd Owner,Petrol,MH-40,Nagpur,297000
2019,Volkswagen,Polo,Manual,47613,1st Owner,Petrol,KA-03,Bengaluru,767000
2016,Volkswagen,Polo,Manual,81031,1st Owner,Petrol,UP-32,Lucknow,378000
2018,Hyundai,Xcent,Manual,31133,1st Owner,Petrol,DL-8C,Gurugram,568000
2022,Renault,Kiger,Manual,21838,1st Owner,Petrol,UP-32,Lucknow,662000
2021,Maruti,New Wagon-R,Manual,18543,1st Owner,Petrol,HR-20,Gurugram,547000
2012,Maruti,Swift,Manual,32528,1st Owner,Petrol,KL-22,Kochi,401000
2018,Hyundai,NEW SANTRO,Manual,22533,1st Owner,Petrol,TS-10,Hyderabad,505000
2019,Maruti,Baleno,Automatic,2714,1st Owner,Petrol,MH-47,Navi Mumbai,786000
2013,Maruti,Swift Dzire,Manual,52698,1st Owner,Petrol,DL-8C,Noida,361000
